,interpreter,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01
74,Robin Schulz & Dennis Lloyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,11,7,7,14,10,14,13,13,19,19,19,24,24,21,23,14,11,3,0,1
75,Ofenbach & Ella Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,2,4,6,3,5,3,2,16,20,23,18,19,24,20,22,29,27,21
76,George Ezra,11,11,9,5,13,4,7,16,14,12,15,10,9,11,11,6,8,12,12,8,7,6,11,8,8,7,11,8,9,6,8,4,5,6,8,4,5,6,4,4,9,11,11,20,28,25,28,26,29,27,27,29
77,LUM!X feat. PIA MARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,25,20,25,18,12,13
78,Wanda,10,4,8,7,7,5,5,9,18,16,15,12,15,5,6,7,4,6,4,3,7,4,4,4,1,5,4,4,6,6,4,2,4,3,7,6,6,4,4,5,4,4,3,3,7,12,22,26,26,24,25,12
79,Alesso feat. Katy Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,5,22,17,16,22,19,20,22,23,21,23,21,22
80,Purple Disco Machine x Sophie and the Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,4,16,18,19,17,20,24,25,17,24
81,Iann Dior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,20,21,20,16,18,21,23,22,21,24,22,23
82,Topic x Robin Schulz x Nico Santos x Paul Van Dyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,19,16,16,20,21,22
83,Harry Styles,5,3,5,2,3,2,6,3,3,7,9,13,5,10,11,11,7,10,9,9,5,7,3,6,6,7,5,5,3,6,4,3,4,6,7,2,6,3,4,6,8,9,6,8,4,3,7,5,6,13,12,23
