My Heart Will Go On;Celine Dion;0;0;0;0;0;0;1;
Lazy Suit;Cesár Sampson;1;0;1;1;0;0;0;
Nobody but You;Cesár Sampson;0;1;0;0;1;0;0;
Hero;Chad Kroeger / Josey Scott;0;1;0;0;0;0;0;
Attention;Charlie Puth;0;1;0;0;0;0;0;
One Call Away;Charlie Puth;0;0;1;0;0;0;0;
Marvin Gaye;Charlie Puth feat Meghan Trainor;0;0;0;1;0;1;0;
Save up All Your Tears;Cher;0;1;0;0;0;0;0;
Walking in Memphis;Cher;0;0;0;0;0;1;0;
The One and Only;Chesney Hawkes;0;0;1;0;0;0;0;
Killing Me Softly;Chiny Logan;0;0;0;0;0;0;1;
Leicht kennt ma's hom;Chris Steger;2;2;2;1;1;2;2;
Zefix;Chris Steger;1;0;1;0;2;0;1;
Beautiful;Christina Aguilera;0;0;1;0;0;0;0;
Jar of Hearts;Christina Perri;0;0;0;1;0;0;0;
Seite an Seite;Christina Stürmer;0;1;0;0;0;0;0;
Wir leben den Moment;Christina Stürmer;0;0;1;0;0;0;0;
Mehr als perfekt;Christina Stürmer;0;0;0;1;0;0;0;
Scherbenmeer;Christina Stürmer;0;0;0;0;1;0;0;
Das ist das Leben (Version 2020);Christina Stürmer;0;0;0;0;1;0;0;
Ein Teil von mir;Christina Stürmer;0;0;0;0;0;0;1;
Ride like the Wind;Christopher Cross;0;1;0;0;0;0;0;
A Sky Full of Stars;Coldplay;0;1;0;2;0;0;0;
Fix You;Coldplay;0;1;0;0;1;0;0;
Viva la vida (Live in Buenos Aires);Coldplay;0;1;0;0;1;0;0;
Viva la vida;Coldplay;0;0;0;0;0;0;1;
Higher Power;Coldplay;0;0;0;0;0;0;1;
Sunglasses at Night;Corey Hart;0;0;0;0;1;0;0;
Sunday Afternoon;Coshiva;0;0;0;0;0;0;1;
Einmal um die Welt;Cro;1;0;0;0;0;0;0;
Traum;Cro;1;0;0;0;0;0;0;
Whatever;Cro;0;0;0;0;1;0;0;
Don't Dream It's Over;Crowded House;0;0;0;2;0;0;0;
Weather with You;Crowded House;0;0;0;0;1;0;0;
(I Just) Died in Your Arms;Cutting Crew;0;0;1;0;0;0;0;
Time After Time;Cyndi Lauper;0;0;0;1;0;0;0;
Ma chérie;DJ Antoine / The Beat Shakers;1;0;0;0;1;0;0;
Con calma;Daddy Yankee feat. Snow;0;1;0;1;0;0;0;
One More Time;Daft Punk;1;0;0;0;0;0;0;
Get Lucky;Daft Punk / Pharrell Williams;0;1;0;0;0;0;0;
Angst dich zu verlieren;Dame;1;0;0;0;0;0;0;
Selbstfindungstrip;Dame feat. Onk Lou;0;0;0;0;0;1;0;
Possible;Darius & Finlay & Adam Bü feat. Max Landry;0;0;0;0;0;1;0;
Close My Eyes;Darius & Finlay X Last Night feat. Max Landry;0;1;0;0;1;0;0;
In the Ghetto;Darius & Finlay feat. Rusty;0;0;0;0;0;0;1;
Colourblind;Dave McKendry;0;1;0;0;0;0;0;
Heroes;David Bowie;0;1;0;0;0;0;0;
My Big Nurse;David Byrne & Brian Eno;0;0;1;0;0;0;0;
Rock Me Baby;David Cassidy;0;1;0;0;0;0;0;
Floating Through Space;David Guetta & Sia;3;2;1;2;1;2;2;
Let's Love;David Guetta & Sia;0;1;0;0;0;0;1;
Titanium;David Guetta / Sia;0;0;1;0;1;0;0;
Dangerous;David Guetta feat. Sam Martin;0;0;1;0;1;1;1;
Lovers on the Sun;David Guetta feat. Sam Martin;0;0;0;1;0;0;0;
Be Alright;Dean Lewis;0;1;0;1;0;0;0;
Breakfast at Tiffany's;Deep Blue Something;0;0;0;0;1;0;0;
Alien;Dennis Lloyd;1;0;0;0;0;0;0;
Enjoy the Silence (Live);Depeche Mode;1;0;0;0;0;0;0;
Enjoy the Silence 04;Depeche Mode;0;0;1;0;0;0;0;
Enjoy the Silence;Depeche Mode;0;0;0;1;0;0;0;
Giants;Dermot Kennedy;0;0;0;1;1;0;0;
Come on Eileen;Dexys Midnight Runners;0;0;1;0;0;0;1;
White Flag;Dido;0;0;2;0;0;0;0;
Thank You;Dido;0;0;0;0;1;0;0;
Das ist der Moment;Die Toten Hosen;0;0;0;0;1;0;0;
So Far Away;Dire Straits;0;0;1;0;0;0;0;
Kiss me more;Doja Cat feat. SZA;0;0;0;1;0;0;0;
Jolene;Dolly Parton;0;1;0;0;0;0;0;
I Love You Always Forever;Donna Lewis;0;0;0;0;1;0;0;
We're Good;Dua Lipa;2;1;3;2;1;1;2;
Physical;Dua Lipa;1;1;1;1;2;1;2;
Don't Start Now;Dua Lipa;0;1;0;0;0;0;0;
IDGAF;Dua Lipa;0;1;0;0;0;0;0;
Levitating;Dua Lipa;0;0;0;1;0;0;0;
Arcade;Duncan Laurence;0;0;0;1;0;0;1;
Ordinary World;Duran Duran;2;0;0;0;0;0;0;
Taxi;DÖF;0;0;0;1;0;0;0;
Codo;DÖF;0;0;0;1;0;0;0;
Ba-Ba-Banküberfall;EAV;1;0;0;1;0;0;0;
Burli;EAV;0;1;0;0;0;0;0;
Fata Morgana;EAV;0;0;1;0;0;0;0;
Heiße Nächte (in Palermo);EAV;0;0;1;0;0;0;0;
Märchenprinz;EAV;0;0;0;2;0;0;0;
An der Copacabana;EAV;0;0;0;0;0;1;0;
